柳氏出自姬姓。魯孝公子夷伯展孫無駭生禽，字季，為魯士師，謚曰惠，食采於柳下，遂姓柳氏。楚滅魯，仕楚。秦幷天下，柳氏遷於河東。秦末，柳下惠裔孫安，始居解縣。安孫隗，漢齊相。六世孫豐，後漢光祿勳。六世孫軌，晉吏部尚書。生景猷，晉侍中。二子：耆、純。耆，太守，號「西眷」。耆二子：恭、璩。恭，後魏河東郡守，南徙汝、潁，遂仕江表。曾孫緝，宋州別駕、宋安郡守。生僧習，與豫州刺史裴叔業據州歸于後魏，為揚州大中正、尚書右丞、方輿公。五子：鷟、慶、虬、檜、鸑。

鷟，後魏臨淮王記室。	帶韋字孝孫，後周黃門侍郎、康城愷公。	祚，隋司勳侍郎。	震，鄆州刺史。	俊，棣州刺史。	　	　	　	　	　	　	　
　	　	　	　	　	　	　	　	　	郜。	　	　
　	　	　	　	　	　	　	　	寓。	鄟。	　	　
　	　	　	　	　	　	　	　	容。	捧。	　	　
　	　	　	　	　	　	　	　	審。	鄰。	　	　
　	　	　	　	　	　	　	　	　	嚴。	　	　
　	　	　	　	　	休字良士，相玄宗。	浩，高陵尉。	　	　	　	　	　
　	　	　	　	　	　	洽，監察御史。	　	　	　	　	　
　	　	　	　	　	　	洪，邢州長史。	章，兵部侍郎。	挹，太原少尹。	居實，南鄭丞。	　	　
　	　	　	　	　	　	　	　	　	鉶，磁州錄事參軍。	　	　
　	　	　	　	　	　	　	　	晟，左散騎常侍。	居業。	　	　
　	　	　	　	　	　	　	　	掖，潤州司倉參軍。	　	　	　
　	　	　	　	　	　	　	　	摳，揚子尉。	　	　	　
　	　	　	　	　	　	　	　	操，靈寶尉。	　	　	　
　	　	　	　	　	　	　	宰。	　	　	　	　
　	　	　	　	　	　	　	平。	　	　	　	　
　	　	　	　	　	　	　	牟。	　	　	　	　
　	　	　	　	　	　	　	鞏。	　	　	　	　
　	　	　	　	　	　	　	莘。	　	　	　	　
　	　	　	　	　	　	澣，郊社丞。	　	　	　	　	　
　	　	　	　	　	　	汯，諫議大夫。	卓，殿中丞。	準，洛陽令。	鎡，咸陽令。	超。	　
　	　	　	　	　	　	　	　	　	　	濡。	　
　	　	　	　	　	　	　	　	　	銶。	起。	　
　	　	　	　	　	　	　	　	　	銖。	越。	　
