唐為國久，傳世多，而諸臣亦各修其家法，務以門族相高。其材子賢孫不殞其世德，或父子相繼居相位，或累數世而屢顯，或終唐之世不絕。嗚呼，其亦盛矣！然其所以盛衰者，雖由功德薄厚，亦在其子孫。作宰相世系表。

裴氏出自風姓。顓頊裔孫大業生女華，女華生大費，大費生皐陶，皐陶生伯益，賜姓嬴氏。生大廉，大廉五世孫曰仲衍，仲衍四世孫曰軒，軒生潏，潏生飛廉，飛廉生惡來，惡來生女防，女防生旁皐，旁皐生太几，太几生大駱，大駱生非子，周孝王使養馬汧渭之間， 以馬蕃息，封之於秦為附庸，使續嬴氏，號曰秦嬴。非子之支孫封𨛬鄉，因以為氏，今聞喜𨛬城是也。六世孫陵，當周僖王之時封為解邑君，乃去「邑」從「衣」為裴。裴，衣長貌。一云晉平公封顓頊之孫鍼於周川之裴中，號裴君，疑不可辨。陵裔孫蓋，漢水衡都尉、侍中，九世孫燉煌太守遵，自雲中從光武平隴蜀，徙居河東安邑，安順之際徙聞喜。曾孫曄，幷州刺史、度遼將軍。子茂字巨光，靈帝時歷郡守、尚書，率諸將討李傕有功，封陽吉平侯。三子：潛、徽、輯。

西眷裴出自陽吉平侯茂長子徽，字文秀，魏冀州刺史、蘭陵武公，以其子孫多仕西涼者，故號西眷。四子：黎、康、楷、綽。黎字伯宗，一名演，游擊將軍、祕書監。二子粹、苞。粹，晉武威太守。二子：詵、暅。詵，太常卿，避地涼州，及苻堅克河西，復還解縣，生劭，劭生和，和生鍾，鍾生景惠。

景惠，後魏州別駕。	會。	韜。	融，後周司木大夫。	孝瑜，儀同大將軍。	該。	　	奐，戶部員外郎。	　	　	　	　
　	　	　	　	京，汝州別駕。	胄字遐叔，檢校兵部尚書，謚成。	胤，容府經略推官。	　	　	　	　	　
　	　	　	　	　	　	溫，太子舍人。	　	　	　	　	　
　	　	　	　	　	　	漳，右衞錄事參軍。	　	　	　	　	　
　	　	　	　	　	　	湀，絳州參軍。	　	　	　	　	　
　	　	　	　	　	　	渙，弘文明經。	　	　	　	　	　
　	　	公續。	挺之，洪州都督。	　	　	　	　	　	　	　	　
允。	　	肅，右領軍將軍。	　	　	　	　	　	　	　	　	　
眺。	龍虔，相州刺史。	　	守義，左補闕。	　	　	　	　	　	　	　	　
中眷裴氏出自嗣中子奣，晉太尉宋公版諮議參軍、幷州別駕，號中眷。三子：萬虎、雙虎、三虎。

萬虎。	保歡。	良字元賓，後魏太府卿，謚貞。	子通，隋太中大夫。	　	　	敬彝，吏部侍郎。	錫，司勳員外郎。	　	　	　	
　	　	　	叔祉，北齊太府卿。	子闡。	　	　	元質，尚書右丞。	　	𣏌。	　	　
　	大醜。	　	慶孫，後魏太中大夫。	子瑩，太尉司參軍。	受。	宣明，華州刺史，謚簡。	景鸞，華州刺史。	文端，北齊行臺郎。	願。	　	　
　	　	　	　	　	　	　	　	　	安。	　	　
　	　	　	　	　	　	　	　	　	弘。	　	　
　	　	　	　	　	　	　	　	　	振。	　	　
　	　	　	　	　	　	　	景鴻，北齊和夷郡守。	叔卿，貝丘令。	神舉，和州刺史。	　	　
　	　	　	　	　	　	　	　	　	神符。	紹宗。	旭，和州刺史，生光進，堯臣，禹臣，延齡，戶部侍郎，生操。
　	　	　	　	　	　	　	　	　	　	茂宗，禮部尚書。	眺，金部郎中，孫嘉壽。
雙虎，後魏河東郡太守。	秀業，天水郡太守。	邃，正平郡太守、澄城縣子。	文舉字道裕，後周青州刺史。	胄，大都督。	神，安邑通守。	知禮，同州刺史。	思本。	　	　	　	　
　	　	　	　	　	　	　	思哲。	　	　	　	　
　	　	　	　	　	　	　	思恭。	　	　	　	　
　	　	　	　	　	　	知古，太常令。	　	　	　	　	　
　	　	　	璣。	　	　	大感，石州刺史。	允初，太子賓客。	藏之，道州刺史。	常。	　	　
　	　	　	　	　	　	　	　	則之。	　	　	　
　	惠秀。	嵩壽，梁兵部尚書。	伯鳳，後周光汾二州刺史、琅邪郡公。	定高，襲琅邪郡公、馮翊郡公。	仁基字德本，隋光祿大夫、忠公。	行儼。	貞隱，邵南府果毅。	參玄，鄧州刺史。	植，祠部郎中。	　	　
　	　	　	　	　	　	　	　	義玄。	　	　	　
　	　	　	　	　	　	　	　	悟玄，赤丞。	　	　	　
　	　	　	　	　	　	　	　	延休。	　	　	　
　	　	　	　	　	　	　	　	慶遠。	　	　	　
　	　	　	　	德超，寧州刺史。	思簡。	休貞，定州刺史。	　	　	　	　	　
　	　	　	　	　	思諒，靈武大總管、河東郡公。	肅，親衞參軍。	　	　	　	　	　
　	　	　	　	　	　	　	孜察，漢州刺史。	𢿈。	　	　	　
　	　	　	　	　	　	　	　	繁。	　	　	　
　	　	　	　	　	　	　	　	微。	　	　	　
　	　	　	　	　	　	行儉，襄武道大總管、聞喜憲公。	光庭字連城，相玄宗。	稹，司勳員外郎，襲正平縣子。	倩字容卿，度支郎中、正平縣男，謚節。	均字君齊，左僕射平章事、郇公。	鉷，鳳翔府參軍、河東縣男。
　	　	　	　	　	　	　	　	　	　	　	鍔，江陵尉。
　	　	　	　	　	　	　	　	　	　	　	鋗。
　	　	　	　	　	　	　	　	　	　	　	鐈。
　	　	　	　	　	　	　	　	　	　	　	鎬。
